word,definition,part_of_speech,synonyms
amphibole,"any of a group of complex silicate minerals with like crystal structures that contain calcium, sodium, magnesium, aluminum, and iron ions or a combination of them",noun,"['amphibole', 'amphiboles']"
ampullula,a minute ampulla (as of the lymphatics or lacteals),noun,"['ampullula', 'ampullulae']"
sampling,"the act, process, or technique of selecting a suitable sample; specifically : the act, process, or technique of selecting a representative part of a population for the purpose of determining parameters or characteristics of the whole population",noun,"['sampling', 'samplings']"
reactivate,to activate again : cause to be again active or more active: as,transitive verb,"['reactivate', 'reactivated', 'reactivating']"
healthy,"enjoying health and vigor of body, mind, or spirit",adjective,"['healthier', 'healthiest', 'healthily', 'healthiness', 'healthinesses', 'healthy']"
reactance,the part of the impedance of an alternating-current circuit that is due to capacitance or inductance or both and that is expressed in ohms,noun,"['reactance', 'reactances']"
reaction time,the time elapsing between the beginning of the application of a stimulus and the beginning of an organism's reaction to it,noun,"['reaction time', 'reaction times']"
chair time,the amount of time a patient spends in the chair of a health-care provider (such as a dentist or optometrist) for examination or treatment,noun,['chair time']
exalt,to cause (virulence) to increase; also : to increase the virulence of,transitive verb,"['exalt', 'exalted', 'exalting', 'exalts']"
fibrocartilage,cartilage in which the matrix except immediately about the cells is largely composed of fibers like those of ordinary connective tissue; also : a structure or part composed of such cartilage,noun,"['fibrocartilage', 'fibrocartilages', 'fibrocartilaginous']"
mucilaginous,"relating to, resembling, containing, or secreting mucilage",adjective,"['mucilaginous', 'mucilaginously']"
serpiginous,slowly spreading; especially : healing over in one portion while continuing to advance in another,adjective,"['serpiginous', 'serpiginously']"
vertiginous,"of, relating to, characterized by, or affected with vertigo or dizziness",adjective,"['vertiginous', 'vertiginously']"
alar cartilage,one of the pair of lower lateral cartilages of the nose,noun,"['alar cartilage', 'alar cartilages']"
cartilage,"a usually translucent somewhat elastic tissue that composes most of the skeleton of vertebrate embryos and except for a small number of structures (as some joints, respiratory passages, and the external ear) is replaced by bone during ossification in the higher vertebrates",noun,"['cartilage', 'cartilages']"
costal cartilage,any of the cartilages that connect the distal ends of the ribs with the sternum and by their elasticity permit movement of the chest in respiration,noun,"['costal cartilage', 'costal cartilages']"
nasal cartilage,any of the cartilages forming the anterior part of the nose,noun,"['nasal cartilage', 'nasal cartilages']"
oleaginous,resembling or having the properties of oil; also : containing or producing oil,adjective,"['oleaginous', 'oleaginously', 'oleaginousness', 'oleaginousnesses']"
oleoresin,a natural plant product (as copaiba or turpentine) containing chiefly essential oil and resin,noun,"['oleoresin', 'oleoresinous', 'oleoresins']"
thiazine,"any of various compounds that are characterized by a ring composed of four carbon atoms, one sulfur atom, and one nitrogen atom and include some that are important as dyes and others that are important as tranquilizers",noun,"['thiazine', 'thiazines']"
thiazide,any of a group of drugs used as oral diuretics especially in the control of high blood pressure,noun,"['thiazide', 'thiazides']"
thionine,a dark crystalline basic thiazine dye that is used chiefly as a biological stain,noun,['thionine']
thiaminase,an enzyme that catalyzes the breakdown of thiamine,noun,"['thiaminase', 'thiaminases']"
thioamide,an amide of a thio acid; especially : an amide having the general formula RCSNH2,noun,"['thioamide', 'thioamides']"
oxythiamine,a chemical compound C12H16ClN3O2S that differs from thiamine in having the amino group in the pyrimidine ring replaced by a hydroxyl group and that is a thiamine antagonist producing symptoms of thiamine deficiency,noun,"['oxythiamin', 'oxythiamine']"
thioflavine,either of two yellow thiazole dyes used as biological stains as well as in dyeing or making organic pigments,noun,"['thioflavin', 'thioflavine', 'thioflavines', 'thioflavins']"
thioguanine,a crystalline compound C5H5N5S that is an antimetabolite and has been used in the treatment of leukemia,noun,['thioguanine']
thiazole,a colorless basic liquid C3H3NS consisting of a 5-membered ring and having an odor like pyridine,noun,"['thiazole', 'thiazoles']"
tyrosine,a phenolic amino acid C9H11NO3 that is a precursor of several important substances (as epinephrine and melanin) —abbreviation Tyr,noun,"['tyrosine', 'tyrosines']"
nucleus,"a cellular organelle of eukaryotes that is essential to cell functions (as reproduction and protein synthesis), is composed of nuclear sap and a nucleoprotein-rich network from which chromosomes and nucleoli arise, and is enclosed in a definite membrane",noun,"['nuclei', 'nucleus', 'nucleuses']"
nuclease,any of various enzymes that promote hydrolysis of nucleic acids,noun,"['nuclease', 'nucleases']"
bacillus,a genus of rod-shaped gram-positive endospore-producing usually aerobic bacteria of the family Bacillaceae that include many saprophytes and some parasites (as B. anthracis of anthrax),noun,"['bacilli', 'bacillus', 'bacilluses']"
Citellus,a genus of rodents (family Sciuridae) including the typical ground squirrels,noun,['Citellus']
gemellus,either of two small muscles of the hip that insert into the tendon of the obturator internus:,noun,"['gemelli', 'gemellus', 'gemellus inferior', 'gemellus superior', 'gemelluses']"
vitellus,the egg cell proper including the yolk but excluding any albuminous or membranous envelopes; also : yolk,noun,"['vitellus', 'vitelluses']"
brucellin,a cell-free polysaccharide-containing culture filtrate of brucellae used in skin tests to detect the presence of brucella infections,noun,"['brucellin', 'brucellins']"
penicillus,one of the small straight arteries of the red pulp of the spleen,noun,"['penicilli', 'penicillus']"
nucleoid,the DNA-containing area of a prokaryotic cell (as a bacterium),noun,"['nucleoid', 'nucleoids']"
agglutinogen,an antigen whose presence results in the formation of an agglutinin,noun,"['agglutinogen', 'agglutinogenic', 'agglutinogens']"
hallucinogen,a substance and especially a drug that induces hallucinations,noun,"['hallucinogen', 'hallucinogenic', 'hallucinogenics', 'hallucinogens']"
immunogen,an antigen that provokes an immune response (as antibody production),noun,"['immunogen', 'immunogens']"
halogen,"any of the five elements fluorine, chlorine, bromine, iodine, and astatine that form part of group VII A of the periodic table and exist in the free state normally as diatomic molecules",noun,"['halogen', 'halogenous', 'halogens']"
inogen,a hypothetical substance formerly supposed to be continually decomposed and reproduced in the muscles and to serve as an oxygen reserve,noun,"['inogen', 'inogens']"
neurogen,a hypothetical specific primary organizer that induces formation of neural structures in an embryo,noun,"['neurogen', 'neurogens']"
thymolphthalein,a crystalline compound C28H30O4 analogous to phenolphthalein and likewise used as an acid-base indicator,noun,"['thymolphthalein', 'thymolphthaleins']"
hangover,disagreeable physical effects (as headache or nausea) following heavy consumption of alcohol or the use of drugs,noun,"['hangover', 'hangovers']"
magnetron,a diode vacuum tube in which the flow of electrons is controlled by an externally applied magnetic field to generate power at microwave frequencies,noun,"['magnetron', 'magnetrons']"
imago,"an insect in its final, adult, sexually mature, and typically winged state",noun,"['imagines', 'imago', 'imagoes']"
magainin,any of a group of peptide antibiotics isolated from the skin of frogs especially of the genus Xenopus,noun,"['magainin', 'magainins']"
magneton,a unit of measurement of the magnetic moment of a particle (as an atom or atomic nucleus) that is equal to 0.927×10—20 ergs per oersted for atoms and 0.505×10—23 ergs per oersted for atomic nuclei,noun,"['magneton', 'magnetons']"
desorb,to remove (a sorbed substance) by the reverse of adsorption or absorption,transitive verb,"['desorb', 'desorbed', 'desorbing', 'desorbs']"
descend,to pass from a higher place or level to a lower one,intransitive verb,"['descend', 'descended', 'descending', 'descends']"
descent,the act or process of descending from a higher to a lower location,noun,"['descent', 'descents']"
design,a plan or protocol for carrying out or accomplishing something (especially a scientific experiment); also : the process of preparing this,noun,"['design', 'designs']"
deoxy,containing less oxygen per molecule than the compound from which it is derived —usually used in combination,adjective,"['deoxy', 'desoxy']"
destain,to selectively remove stain from (a specimen for microscopic study),transitive verb,"['destain', 'destained', 'destaining', 'destains']"
